"","State_code","Year","State","X","Population","Mechanism","pol_ubc","pol_vmisd","pol_mayissue","Age.Adjusted.Rate","logy","ur","law.officers","law.officers.pc","vcrime","vcrime.pc","alcc.pc","incarc","incarc.pc","prop18.24","Region"
"426","MD",2015,"Maryland",735,5988528,"Firearm",1,1,1,11.89,2.47569771070269,4.99166666666667,22849,381.546182968502,28856,481.854639403874,2.1427,20921,349.35129300556,9.2063535554389,"South"
"427","MD",2005,"Maryland",225,5592379,"Firearm",1,1,1,11.86,2.47317139356958,4.475,19745,353.069775850313,38817,694.10531725407,2.1582,22553,403.28096504189,9.24999897181504,"South"
"428","MD",2003,"Maryland",123,5496269,"Firearm",1,1,1,11.96,2.48156774852249,4.8,19290,350.965354861634,38253,695.981219259829,2.1208,23646,430.219117732411,9.06247492617265,"South"
"429","MD",2010,"Maryland",480,5773787,"Firearm",1,1,1,9.26,2.22570404865809,7.825,20467,354.481382842838,31181,540.044168584674,2.2053,22786,394.645663236278,9.66051640755306,"South"
"430","MD",2018,"Maryland",888,6042153,"Firearm",1,1,1,11.62,2.45272775142377,3.81666666666667,22113,365.978815829391,27839,460.74635978268,2.0799,19180,317.436516420554,8.78229603953211,"South"
"431","MD",2004,"Maryland",174,5546935,"Firearm",1,1,1,11.93,2.47905623610982,4.61666666666667,19483,351.239017583584,38440,692.995320839346,2.151,23162,417.56393395632,9.1600135930924,"South"
"432","MD",2021,"Maryland",1041,6165129,"Firearm",NA,NA,NA,15.23,2.72326716690707,5.31666666666667,19840,321.809973481496,26186,424.743748265446,2.2068,15137,245.526087126482,NA,"South"
"433","MD",2020,"Maryland",990,6172679,"Firearm",1,1,1,13.26,2.58475198475772,6.51666666666667,22237,360.248767188444,23662,383.334367460223,2.1121,15514,251.333335169381,NA,"South"
"434","MD",2007,"Maryland",327,5653408,"Firearm",1,1,1,12.04,2.48823443988067,3.73333333333333,20600,364.381979860643,35509,628.099015673378,2.2007,23033,407.417968064573,9.47272866207427,"South"
"435","MD",2012,"Maryland",582,5888375,"Firearm",1,1,1,9.83,2.28543893415908,6.86666666666667,20117,341.639246821067,27713,470.639183136264,2.205,21783,369.93228182648,9.59075534670338,"South"
"436","MD",2009,"Maryland",429,5730388,"Firearm",1,1,1,10.19,2.32140684723463,7.55,20609,359.644059006127,33185,579.105638222054,2.1872,21962,383.255025663184,9.63664240536592,"South"
"437","MD",2016,"Maryland",786,6007014,"Firearm",1,1,1,11.88,2.4748563139345,4.29166666666667,22580,375.893913348629,29800,496.086741266127,2.1572,20211,336.45668213858,9.02778344593486,"South"
"438","MD",2001,"Maryland",21,5374691,"Firearm",1,1,1,11.47,2.43973493114128,4.20833333333333,19143,356.169312803285,41642,774.779424528778,2.1135,23611,439.299673227726,8.75060538363973,"South"
"439","MD",2019,"Maryland",939,6054954,"Firearm",1,1,1,12.54,2.52892353520477,3.39166666666667,22490,371.431393202987,26966,445.35433299741,2.0272,18825,310.902444510726,8.70289198237419,"South"
"440","MD",2017,"Maryland",837,6028186,"Firearm",1,1,1,12.32,2.51122395810537,4,22232,368.800829967755,29763,493.730618132884,2.1414,19919,330.431078271308,8.89881717195662,"South"
"441","MD",2008,"Maryland",378,5684965,"Firearm",1,1,1,11.61,2.4518667957098,4.525,20797,365.824591708128,34900,613.899997625315,2.187,22955,403.784368065591,9.56248631258064,"South"
"442","ME",2010,"Maine",481,1328354,"Firearm",0,1,0,7.86,2.06178660644112,8.41666666666667,2839,213.723149100315,1597,120.223976440015,2.56,1954,147.099342494546,8.73610022076951,"Northeast"
"443","ME",2001,"Maine",22,1285692,"Firearm",0,1,0,7.29,1.98650354602057,3.75,2875,223.614987104221,1416,110.135242344201,2.284,1664,129.424465579626,8.33613338186751,"Northeast"
"444","ME",2020,"Maine",991,1362280,"Firearm",0,1,0,10.28,2.33020026002702,5.11666666666667,2937,215.59444460757,1444,105.998766773351,2.9614,1715,125.891887130399,NA,"Northeast"
"445","ME",2003,"Maine",124,1306513,"Firearm",0,1,0,6.02,1.79508725932073,5.15,2920,223.495671302161,1406,107.61469652426,2.3902,1944,148.793008565548,8.68938923684648,"Northeast"
"446","ME",2005,"Maine",226,1318787,"Firearm",0,1,0,7.71,2.04251818757524,4.89166666666667,2886,218.837462001066,1464,111.011103385156,2.5219,1950,147.86315000072,8.84562859658156,"Northeast"
"447","ME",2014,"Maine",685,1331217,"Firearm",0,1,0,9.41,2.24177295359729,5.55833333333333,2815,211.460640902272,2023,151.966208364226,2.7047,2199,165.187193372681,8.55767662548205,"Northeast"
"448","ME",2004,"Maine",175,1313688,"Firearm",0,1,0,7.9,2.06686275947298,4.65833333333333,2892,220.143595739628,1346,102.459640340781,2.4382,1981,150.796840650139,8.75877681763098,"Northeast"
"449","ME",2002,"Maine",73,1295960,"Firearm",0,1,0,6.63,1.89160480419777,4.45833333333333,2927,225.855736288157,1382,106.639093799191,2.328,1847,142.519830858977,8.49123429735486,"Northeast"
"450","ME",2021,"Maine",1042,1372247,"Firearm",NA,NA,NA,12.58,2.53210825127229,4.61666666666667,2954,215.267368046715,1535,111.860328351966,2.9746,1560,113.682157803952,NA,"Northeast"
"451","ME",2006,"Maine",277,1323619,"Firearm",0,1,0,7.28,1.98513086220859,4.71666666666667,2933,221.589445301103,1510,114.081166861461,2.5423,2064,155.93611152454,8.86554212352648,"Northeast"
"452","ME",2019,"Maine",940,1345770,"Firearm",0,1,0,11.43,2.43624147780672,2.94166666666667,2757,204.86412982902,1540,114.432629646968,2.8955,2167,161.023057431805,7.95499519421044,"Northeast"
